Id,SalePrice
1461,116987.01188243277
1462,159067.3014806966
1463,166073.3609234733
1464,195062.06501081222
1465,183167.16600586416
1466,171607.6290305994
1467,187722.30857349324
1468,165348.31668290205
1469,187978.4244566085
1470,116645.2444379874
1471,185857.3346350673
1472,108046.91491029937
1473,100384.87611069436
1474,150554.34406807317
1475,119194.32609034322
1476,350393.1364563851
1477,237670.95743360335
1478,289885.1494309879
1479,275274.16979131673
1480,478545.93324322614
1481,293650.180989057
1482,201298.48047615107
1483,173962.97413729355
1484,165422.5656318263
1485,195699.75217909628
1486,198596.60524868665
1487,308428.75084983924
1488,238243.64820270304
1489,182781.0115590271
1490,229782.54550184825
1491,196251.7725932714
1492,91324.30721367516
1493,195014.63398637812
1494,292868.90919932193
1495,272387.94714998605
1496,225186.51466727414
1497,170241.9642007422
1498,162264.29192476784
1499,157203.759352699
1500,159091.0584252416
1501,167543.81112007075
1502,156020.6489952285
1503,285794.3192956742
1504,248207.22662693632
1505,224939.74820238535
1506,197178.65967821566
1507,239556.80153736213
1508,191837.98776851696
1509,154835.14136540916
1510,136466.3712743506
1511,146148.09264824036
1512,174802.22110448458
1513,150236.6393856544
1514,142451.62311709445
1515,183995.81928068743
1516,148736.1881555115
1517,162484.9968155042
1518,133712.7665409133
1519,204479.47320749902
1520,126728.20747759819
1521,121830.20009524767
1522,180527.4112039863
1523,103346.01519537561
1524,122023.62376550827
1525,110265.31103332611
1526,101519.98744660047
1527,101344.61720930516
1528,149559.73072813806
1529,141979.8738572907
1530,201670.79225770573
1531,114689.39301375215
1532,108739.30923228794
1533,167518.7470081426
1534,131318.80069136267
1535,145495.37656556148
1536,112841.0059370434
1537,55819.54877255706
1538,140807.93694004955
1539,197436.62057890592
1540,86129.65518189964
1541,134166.9112745887
1542,133424.02815714717
1543,165409.85656346835
1544,89956.35660602665
1545,104340.41285523861
1546,136687.94052296106
1547,130642.96249582124
1548,129549.30865580772
1549,115187.67751194823
1550,123479.88396646296
1551,120516.89767293604
1552,132435.5425802493
1553,140295.98598808568
1554,125910.58298090655
1555,153422.26026852694
1556,89941.00686396084
1557,90656.0594381826
1558,104832.9689296719
1559,72591.66803947862
1560,133384.19082098998
1561,117412.4900009542
1562,137404.66901260798
1563,117222.30200815927
1564,158625.2722981548
1565,132621.12625571515
1566,232326.95802498257
1567,78735.78707000859
1568,232259.39738607057
1569,122944.5930816273
1570,148896.77891557664
1571,116874.1729981567
1572,144469.15158484498
1573,230974.94211783525
1574,111749.98481295443
1575,217228.49199780187
1576,248858.13554042336
1577,179802.48901566525
1578,136037.81783501993
1579,129814.51083483966
1580,197994.0063982082
1581,160796.0931885894
1582,127039.52009513785
1583,294481.01260513044
1584,223633.5208438395
1585,143094.8808118787
1586,70972.09033802767
1587,100310.09870236255
1588,145401.5599653422
1589,91652.46361599749
1590,140055.93285668953
1591,90325.70692559483
1592,118769.66830883532
1593,134354.70089522423
